Nazwa;ludnosc;udzial_terenow_ziel;pojazdy_paliwa_plynne;zuzycie_wody;odpady_niezneutralizowane;odpady_selektywnie_do_ogolu;wsk_ladunek_scieki;wsk_jakosc_powietrza;wydatki_ochrona_srod;scieki_oczyszczone_do_ogolu;sciezki_rowerowe;zanieczyszczenia_przem_niezneutralizowane;pomniki_przyrody;S02;NO2;PM10;S02_stos_kryt;NO2_stos_kryt;PM10_stos_kryt
Kielce;196804;3;106267;9464,4;100,9;23,6;;;66452770,86;99,82;49,1;330933;51;8,4;;33,7;0,016766467;;0,167661692
Elblag;120895;2,1;56068;24133;73,7;17,1;8,181813978;0,058186346;31014145,08;100;44,1;311888;71;3,9;17,4;24,8;0,007784431;0,043391521;0,123383085
Olsztyn;173070;4,2;95504;11852,9;63,5;21,3;7,151178397;0,057510042;76575771,58;85,16;76;372863;35;2,5;20,5;23,4;0,00499002;0,051122195;0,11641791
Kalisz;101625;2,4;72291;5430,2;32,2;38,4;;0,072444766;29259851,62;100;43,8;115099;61;7;20,7;30,5;0,013972056;0,051620948;0,151741294
Konin;74834;3,1;40913;1101822;885,5;28,7;10,79979045;0,063960121;25320444,84;100;38,3;7211222;8;4,6;18;27,7;0,009181637;0,044887781;0,137810945
Leszno;64197;2,5;38589;3021,3;39,6;21,4;;;23445553,99;100;50,9;47614;3;;;25,9;;;0,128855721
Poznan;538633;4;415875;35218,8;456,5;27,9;11,4018649;0,075812148;161931879,9;99,91;175;1471587;35;3,3;32,7;28;0,006586826;0,081546135;0,139303483
Koszalin;107670;1,9;57236;5847,7;76,8;26,6;0,12156125;0,080782872;48019232,6;100;71,5;121021;57;3;46,9;24;0,005988024;0,116957606;0,119402985
Szczecin;403883;1,9;227586;111024,3;114,8;21,7;7,779183235;0,063647467;182658387,6;94,52;122,3;973387;41;2,1;29,6;22,7;0,004191617;0,073815461;0,112935323
Swinoujscie;41032;0,5;21115;2480,3;7,6;26,8;10,0941226;;20003858,81;99,93;32,9;68743;25;2,3;;;0,004590818;;
